ActConfigID,RefGroupID,EditionID,ProductDescription,ProductKeyType,EULAType
{39A1BE8C-9E7F-4A75-81F4-21CFAC7CBECB},3516,ProfessionalRetail,Office16_ProfessionalR_Trial,Retail:TB:Eval,ltPTP
{D64EDC00-7453-4301-8428-197343FAFB16},3517,ProfessionalRetail,Office16_ProfessionalR_Retail,Retail,ltPERP
{2CB19A15-BAB2-4FCB-ACEE-4BDE5BE207A5},3519,ProjectProRetail,Office16_ProjectProMSDNR_Retail,Retail,ltPERP
{3846A94F-3005-401E-B663-AF1CF99813D5},3520,VisioProRetail,Office16_VisioProMSDNR_Retail,Retail,ltPERP
{2395220C-BE32-4E64-81F2-6D0BDDB03EB1},3521,StandardRetail,Office16_StandardMSDNR_Retail,Retail,ltPERP
{E48D4EBB-FD30-43B2-BE87-0EB2335EC2C9},3522,PowerPointRetail,Office16_PowerPointR_Trial,Retail:TB:Eval,ltPTP
{A9F645A1-0D6A-4978-926A-ABCB363B72A6},3523,PersonalRetail,Office16_PersonalR_Retail,Retail,ltPERP
{2DCD3F0B-AAFB-48D7-9F5F-01E14160AC43},3524,OutlookRetail,Office16_OutlookR_Trial,Retail:TB:Eval,ltPTP
{5B45E2C1-3D5A-4C24-AD16-B26499F64FC2},3525,WacServerLPKNone,Office16_WacServerLPK_Bypass,Retail,ltFree
{338E5858-1E3A-4ACD-900E-7DBEF543BB9B},3527,PersonalRetail,Office16_PersonalDemoR_BypassTrial180,Retail,ltPTP
{B444EF2B-340F-4E88-9E32-FCB747EE5D04},3528,PersonalRetail_Grace,Office16_PersonalR_Grace,Retail,ltGrace
{E66E9AA9-D6CE-43DA-8A34-EF62ECDAE720},3529,PersonalRetail,Office16_PersonalR_OEM_Perp,OEM:NONSLP,ltPERP
{FBBC4AAB-247A-43DB-8CE6-69ABE89A82E5},3532,PersonalRetail,Office16_PersonalR_Trial,Retail:TB:Eval,ltPTP
{35EC6E0E-2DF4-4629-9EE3-D525E806B988},3534,O365ProPlusRetail,Office16_O365ProPlusDemoR_BypassTrial180,Retail,ltPTP
{7AB38A1C-A803-4CA5-8EBB-F8786C4B4FAA},3535,O365HomePremRetail,Office16_O365HomePremDemoR_BypassTrial180,Retail,ltPTP
{18C10CE7-C025-4615-993C-2E0C32F38EFA},3536,O365SmallBusPremRetail,Office16_O365SmallBusPremDemoR_BypassTrial180,Retail,ltPTP
{81D507D6-E729-436D-AD4D-FED2CBE4E566},3537,O365StandardRetail,Office16_O365StandardDemoR_BypassTrial180,Retail,ltPTP
{8BF9E61F-3905-4E9B-99C4-1C3946C1FCA7},3538,O365PersonalRRetail,Office16_O365PersonalRDemoR_BypassTrial180,Retail,ltPTP
{0C6911A0-1FD3-4425-A4B3-DA478D3BF807},3539,O365HomeBusinessRetail,Office16_O365HomeBusinessDemoR_BypassTrial180,Retail,ltPTP
{E914EA6E-A5FA-4439-A394-A9BB3293CA09},3540,MondoRetail,Office16_MondoR_KMS_Automation,Volume:GVLK,ltKMS
